Participant ID,Group,Behavior
Participant106,2,1
Participant107,1,2
Participant107,1,1
Participant108,2,2
Participant108,2,2
Participant109,1,1
Participant110,1,1
Participant111,1,2
Participant112,1,2
Participant113,1,2
Participant114,2,1
Participant114,2,1
Participant115,2,2
Participant115,2,2
Participant115,2,2
Participant116,1,2
Participant116,2,2
Participant117,2,2
Participant118,2,1
Participant119,1,2
Participant119,1,2
Participant120,1,2
Participant121,1,2
Participant122,1,2
Participant122,1,2
Participant122,1,2
Participant122,1,2
Participant123,1,1
Participant124,1,2
Participant125,1,2
Participant126,2,2
Participant126,2,2
Participant127,2,2
Participant128,1,2
Participant128,1,2
Participant129,2,2
Participant130,2,1
Participant130,2,1
Participant131,2,2
Participant131,2,2
Participant131,2,2
Participant131,2,2
Participant132,1,2
Participant133,2,2
Participant134,1,2
Participant135,2,2
Participant136,1,2
Participant137,1,2
Participant138,1,1
Participant139,1,1
Participant140,2,2
Participant140,2,1
Participant141,2,2
Participant141,2,2
Participant141,2,2
Participant141,2,2
Participant142,2,2
Participant142,1,1
Participant142,1,1
Participant142,1,1
Participant143,1,1
Participant143,1,1
Participant143,1,1
Participant143,1,1
Participant143,1,1
Participant143,1,1
Participant144,1,2
Participant145,1,1
Participant146,1,2
Participant147,1,2
Participant148,1,2
Participant148,1,2
Participant148,1,2
Participant149,1,2
Participant150,2,2
Participant151,2,2
Participant151,2,2
Participant151,2,2
Participant151,2,2
Participant151,2,2
Participant151,2,2
Participant151,2,2
Participant152,1,2
Participant153,2,1
Participant154,1,2
Participant155,1,1
Participant156,2,2
Participant157,1,2
Participant158,2,1
Participant159,2,2
Participant159,2,2
Participant160,2,1
Participant160,2,1
Participant160,2,1
Participant160,2,1
Participant160,2,1
Participant160,2,1
Participant160,2,1
Participant161,2,1
Participant162,1,2
Participant163,2,2
Participant164,1,1
Participant165,1,2
Participant166,1,2
Participant167,1,1
Participant167,1,1
Participant167,1,1
Participant168,2,2
Participant169,2,2
Participant169,2,2
Participant169,2,2
Participant169,2,2
Participant169,2,2
Participant169,2,2
Participant169,2,2
Participant170,1,2
Participant171,1,1
Participant172,1,2
Participant173,1,2
Participant174,1,2
Participant174,1,2
Participant175,2,1
